questionText,options[0],options[1],options[2],options[3],correctAnswer
Detect analogy :  Rickets : Scurvy : Beri-beri,A. They ae insects.,B. They are infectious diseases.,C. They are diseases caused by deficiency of vitamins.,D. They are diseases caused by certain insect bites.,C. They are diseases caused by deficiency of vitamins.
Detect analogy :  Kittiwake : Gull : Albatross,A. These are found in ponds.,B. These feed on fishes.,C. These are breeds of fishes.,D. These are sea birds.,D. These are sea birds.
Detect analogy :  Madras : Vishakhapatnam : Rangoon,A. They are Indian naval bases.,B. They are ports situated on the coast of Bay of Bangal.,C. They are capitals of states.,D. They are famous for their architecture.,B. They are ports situated on the coast of Bay of Bangal.
Detect analogy :  James Bond : Sherlock Holmes : Hercules Poirot,A. They are private detectives.,B. They are agents of CBI.,C. They are characters from detective fiction.,D. They are the only detective agents.,C. They are characters from detective fiction.
Detect analogy :  Kanha : Periyar : Dachigam,A. These are famous lagoons.,B. These are hill stations.,C. These are anomal sanctuaries.,D. These are mountain peaks.,C. These are anomal sanctuaries.
Detect analogy :  Chorme : Ochre : Lemon,A. These are names of flowers.,B. These are fruits of Trundra plants.,C. These shades of yellow colour.,D. These are cirtrus fruits.,C. These shades of yellow colour.
Detect analogy :  Naive : Ingenue : Guileless,A. The terms are connected with bad society manners.,B. The terms are used for criminals.,C. They are technical words used by social workers in backward areas.,D. They depict various shades of innocence.,D. They depict various shades of innocence.
Detect analogy :  Vinci : Angelo : Raphael,A. They were Italian engineers.,B. They were European painters.,C. They were dictators.,D. They were famous politicians.,B. They were European painters.
Detect analogy :  Prakrit : Pali : Sanskrit,A. They are classical languages of Asia and Europe.,B. The Vedas are written in these languages.,C. They are old languages of India.,D. They are dead language.,C. They are old languages of India.
Detect analogy :  Chlorine : Fluorine : Iodine,A. These are names of inert gases.,B. These are gases at room temperature.,C. These are transition elements.,D. These are halogens.,D. These are halogens.
Detect analogy :  Myosin : Collagen : Actin,A. These are proteins.,B. These are names of enzymes.,C. These are constituents of blood.,D. These are names of hormones.,A. These are proteins.
Detect analogy :  Vigour : Vitality : Stamina,A. The terms are related to medicines.,B. The terms are related to one`s instinct for fighting.,C. The terms are a measurement for tolerance.,D. The terms are related to inner strength.,D. The terms are related to inner strength.
Detect analogy :  Theta : Phi : Omega,A. These are Latin alphabets.,B. These are signs of algebra.,C. These are Greek letters.,D. These are used in physical derivations.,C. These are Greek letters.
Detect analogy :  Abhi Bhattacharya : Utpal Dutt : Satyajit Ray,A. They are character actors.,B. They are directors of Bengali movies.,C. They are famous actor who were awarded Padma Shri.,D. All these late silver screen personalities belonged to Bengal.,D. All these late silver screen personalities belonged to Bengal.
Detect analogy :  Sarnath : Kapilavastu : Sanchi,A. These are place having massive pillars.,B. These are linked with Lord Buddha.,C. These are famous for stone caves.,D. These have ancient universities.,D. These have ancient universities.
Detect analogy :  Majlis : Diet : Knesset,A. These are foreign languages.,B. These are parliaments of countries.,C. These are names of foods for stone caves.,D. These are old names of certain countries.,B. These are parliaments of countries.
Detect analogy :  Stork : Goose : Duck,A. They migrate to India from Siberia.,B. They are water birds.,C. They are while.,D. The species are disappearing.,B. They are water birds.
Detect analogy :  Arjun : Uddhav : Sudama,A. They were Pandavas.,B. They were all princes.,C. They were great warriors.,D. They were friends of Krishna.,D. They were friends of Krishna.
Detect analogy :  Petrol : Phosphorus : Cooking gas,A. They are fules.,B. They are highly inflammable.,C. They can`t be sold without permit.,D. India has to import them.,B. They are highly inflammable.
Detect analogy :  Sapphire : Ruby : Topaz,A. They belong to the family of fishes.,B. They are precious minerals.,C. They are precious stones.,D. They are used as abrasives.,C. They are precious stones.
Detect analogy :  Borlaug : Bhartendu : Birla,A. They are famous scientists.,B. They are great warriors.,C. They worked in the field of literature.,D. They are linked with awards.,D. They are linked with awards.
Detect analogy :  Green : Violet : Orange,A. They are primary colours.,B. These colours occur together in a rainbow.,C. They are made by mixing other colours.,D. These colours are not found in butterflies.,C. They are made by mixing other colours.
Detect analogy :  Ebony : Rosewood : Mahogany,A. They are trees of temperate regions.,B. These are hardwood trees.,C. These yield good wood for fuel.,D. These are coniferous trees.,B. These are hardwood trees.
Detect analogy :  Cherries : Berries : Apricot,A. They grow on creepers.,B. They need hot climate.,C. They are very expensive fruits.,D. They have a hard stone inside.,D. They have a hard stone inside.
Detect analogy :  Columbus : : Magellan : Vasco da Gama,A. They are ancient astronomers.,B. They are ancient sailors.,C. They discovered some Asian countries.,D. They were the first to design a ship.,B. They are ancient sailors.
Detect analogy :  Arabia : Labrador : Scandinavia,A. They are names of island.,B. They are Muslim countries.,C. They have fine fishing grounds.,D. They are names of peninsulas.,D. They are names of peninsulas.
Detect analogy :  Slumber : Drowze : Snooze,A. They are medical terms.,B. The words are connected with sleep.,C. The terms are connected with peace.,D. They are first symptoms of somnambulism.,B. The words are connected with sleep.
Detect analogy :  Michigam : Baikal : Nicarague,A. They are names of lakes.,B. They are names of cities,C. They are countries of Europe.,D. They are good trading centre.,A. They are names of lakes.
Detect analogy :  Mundas : Gaddis : Shompens,A. They are varieties of fedder.,B. They are different kinds of pastures.,C. They are tribal groups.,D. They are good mountaineers.,C. They are tribal groups.
Detect analogy :  Magenta : Fawn : Turquoise,A. They are marine ceatures.,B. They are migratory birds.,C. They are precious and semi-precious stones.,D. They are colours.,D. They are colours.
Detect analogy :  Nissan : Toyota : Isuzu,A. These are cities in Japan.,B. These are ports in Japan.,C. These are cars from Japan.,D. These are tele-programmes.,C. These are cars from Japan.
Detect analogy :  Knot : Watt : Fathom,A. The terms are used by sailors.,B. The terms are used for installing electricity.,C. The terms are connected with rope.,D. They are units measurement.,D. They are units measurement.
Detect analogy :  Yenisei : Orinoco : Makenzie,A. These are small round hills.,B. These are sea ports.,C. These are names of river.,D. These are rich agricultural lands.,C. These are names of river.
Detect analogy :  Aphids : Weevils : Locusts,A. These are plant pests,B. These damage the wood.,C. These live inside the host.,D. These cause disease in cattle,A. These are plant pests
Detect analogy :  Kwanza : Franc : Lempire,A. These are ancient towns.,B. These are princely States.,C. These are famous fishing grounds.,D. These are currencies.,D. These are currencies.
Detect analogy :  Tola : Masha : Ratti,A. They are units of time,B. They are fruits of wild plants.,C. They are units of weight.,D. They are terms used in Ayurved.,C. They are units of weight.
Detect analogy :  Love : Respect : Sympathy,A. They are sentiments.,B. They are feelings.,C. They are not reciprocal.,D. They cannot be displayed.,D. They cannot be displayed.
Detect analogy :  Ovary : Uterus : Cervix,A. They are excretory organs.,B. They are reproductive organs.,C. They are endocrine glands.,D. They are organs for fertilisation in plants.,B. They are reproductive organs.
Detect analogy :  Spinach : Fenugreek : Celery,A. These are cactus plants.,B. These are wild flowers.,C. These are wild plants.,D. These are leafy vegetables.,D. These are leafy vegetables.
Detect analogy :  Pulpit : Pews : Steeple,A. They are connected with a glacier valley.,B. They are connected with church.,C. The terms are connected with race-course.,D. They are parts of a plant.,B. They are connected with church.
Detect analogy :  Viper : Krait : Mamba,A. These are boot polishes.,B. These are haunting spirits.,C. These are snakes.,D. These are insects living in bushes.,C. These are snakes.
Detect analogy :  Aorta : Pulmonary : Ventricle,A. They are the veins that supply blood.,B. They are names of parts of heart.,C. They are related to lunge.,D. They are different section of food pipe.,B. They are names of parts of heart.
Detect analogy :  Hamlet : Macbeth : Faustus,A. They were kings.,B. They are plays by Shakespeare.,C. They are famous characters from various dramas.,D. They are characters who were murderers.,C. They are famous characters from various dramas.
Detect analogy :  Vesuvius : Etna : Kilimanjaro,A. These are sites of volcanoes.,B. These are hills of Italy.,C. These are island countries.,D. These lie in polar regions.,A. These are sites of volcanoes.
Detect analogy :  Yeats : Ghalib : Kabir,A. They were given Nobel Prize.,B. They were poets.,C. They were social reformers.,D. They were saints.,B. They were poets.
Detect analogy :  Rinderpest : Anthrax : Diarrhoea,A. These are diseases caused by bacteria.,B. These are plant pests.,C. These are pathogens.,D. These are infection of stomach.,A. These are diseases caused by bacteria.
Detect analogy :  Canoe : yacht : Dinghy,A. These are tribal people.,B. These are Famous clubs.,C. These are names of boats.,D. They are rest houses.,C. These are names of boats.
Detect analogy :  Coments : Stars : Satellites,A. They are shining masses.,B. They give out light.,C. They are rotating from left to right.,D. These are heavenly bodies.,D. These are heavenly bodies.
Detect analogy :  Press : Television : Cinema,A. They are means of entertainment.,B. They are means of mass media.,C. They give world wide news.,D. All are public undertakings.,B. They are means of mass media.
Detect analogy :  Hiss : Hoot : Trumpet,A. They are sound made by certain creatures.,B. They are joyous cries of children.,C. They are sound made by war-instruments.,D. The terms are used in connection with news.,A. They are sound made by certain creatures.
Detect analogy :  Crocodile : Chameleon : Tortoise,A. They are reptiles.,B. They have hard shells.,C. They live near water.,D. They keep on changing colour.,A. They are reptiles.
Detect analogy :  Knight : Rook : Bishop,A. These are missionaries.,B. These are chessmen.,C. These are churchmen.,D. These are ranks of military.,B. These are chessmen.
Detect analogy :  Delhi : Agra : Methura,A. They have been capitals of the country.,B. They have exquisite temples.,C. They have religious background.,D. They are situated on the bank of river Yamuna.,D. They are situated on the bank of river Yamuna.
Detect analogy :  Sweep : Scrub : Wipe,A. These are terms connected with rubbing.,B. These are games of cards.,C. These are terms used by motor mechanics.,D. These are terms connected with cleaning.,D. These are terms connected with cleaning.
Detect analogy :  Chain : Link : Bridge,A. They all have hooks.,B. They are related with ornaments.,C. They join two parts.,D. The terms are related with prison.,C. They join two parts.
Detect analogy :  Gnu : Emu : Curlew,A. These are fast runners.,B. These are birds.,C. These are small insects.,D. These are animal pests.,B. These are birds.
Detect analogy :  Mars : Mercury : Venus,A. They have no opposite motion.,B. They are evil planets.,C. They are the planets nearest to the earth.,D. They have no corresponding lucky stone.,C. They are the planets nearest to the earth.
Detect analogy :  Analects : Zend Avesta : Torah,A. These are places of worship.,B. These are three sects of Muslims.,C. These are names of religions.,D. These are names of religious books.,D. These are names of religious books.
Detect analogy :  Sandstone : Limestone : Coal,A. They are formed by metamorphic rocks.,B. They are chemical minerals.,C. They are found in river beds.,D. They are formed in sedimentary rocks.,D. They are formed in sedimentary rocks.
"Which of the following is the same as Canoe, Raft, Wangan ?",A. Dinghy,B. Shallot,C. canopy,D. Submarine,A. Dinghy
"Which of the following is the same as Radium, Polonium, Uranium ?",A. Thorium,B. Caesium,C. Barium,D. Strontium,A. Thorium
"Which of the following is the same as Weevils, Borer, Beetle ?",A. Termites,B. Lice,C. Moth,D. Ringworms,C. Moth
"Which of the following is the same as Measles, Rabies, Cancer ?",A. Pneumonia,B. Diabetes,C. Tetanus,D. Hepatitis,D. Hepatitis
"Which of the following is the same as Sial, Sima, Mantle ?",A. Core,B. Asteroid,C. Ionosphere,D. Comet,A. Core
"Which of the following is the same as Wrestling, Karate, Boxing ?",A. Swimming,B. Polo,C. Pole vault,D. Judo,D. Judo
"Which of the following is the same as Grafting, Budding, Layering ?",A. Weeding,B. Digging,C. Field,D. Seed,A. Weeding
"Which of the following is the same as Steel, Bronze, Brass ?",A. Calcite,B. Magnalium,C. Methane,D. Zinc,B. Magnalium
"Which of the following is the same as Emancipate, Free, Release ?",A. Liberate,B. Quit,C. Pardon,D. Ignore,A. Liberate
"Which of the following is the same as Cygnus, Pleides, Scorpio ?",A. Sirius,B. Orion,C. Venus,D. Vega,B. Orion
"Which of the following is the same as Rabbit, Rat, Mole ?",A. Mongoose,B. Frog,C. Earthworm,D. Ant,A. Mongoose
"Which of the following is the same as Count, List, Weigh ?",A. Compare,B. Sequence,C. Number,D. Measure,D. Measure
"Which of the following is the same as Kathak, Bihu, Garbha ?",A. Kathakali,B. Pongal,C. Bhangra,D. Bharatnatyam,C. Bhangra
"Which of the following is the same as Instill, Inside, Inform ?",A. Interview,B. Institute,C. Intent,D. Intelligent,C. Intent
"Which of the following is the same as Flood, Fire, Cyclone ?",A. Damage,B. Earthquake,C. Rain,D. Accident,B. Earthquake
"Which of the following is the same as Lung, Pharynx, Bronchioles ?",A. Alveoli,B. Ribs,C. Oesophagus,D. Nephrons,A. Alveoli
"Which of the following is the same as Ode, Ballad, Lyric ?",A. Prose,B. Epic,C. Sonnet,D. Precis,C. Sonnet
"Which of the following is the same as Dozen, Score, Decade ?",A. Century,B. Number,C. Measurement,D. Counting,A. Century
Choose similar word:  Bleat : Bray : Grunt,A. Bark,B. Croak,C. Cry,D. Scream,A. Bark
Choose similar word:  Arid : Parched : Droughty,A. Cow,B. Dry,C. Draft,D. Earth,B. Dry
Choose similar word:  Peat : Lignite : Bituminous,A. Granite,B. Basalt,C. Anthracite,D. Coke,C. Anthracite
Choose similar word:  Daisy : Pansy : Rose,A. Garden,B. Plant,C. Violet,D. Red,C. Violet
Choose similar word:  Jam : Jelly : Pickles,A. Butter,B. Marmalade,C. Grapes,D. Preserve,B. Marmalade
Choose similar word:  Kanchenjunga : Anaimudi : Dhaulagiri,A. Himadri,B. Zaskar,C. Nandadevi,D. Karakoram,C. Nandadevi
Choose similar word:  BASIC : PASCAL : FORTRAN,A. CYCLOTRONE,B. COMPUTER,C. COBOL,D. BHOPAL,C. COBOL
Choose similar word:  Botany : Zoology : Cardiology,A. Moraphology,B. Seismology,C. Pedology,D. Taxonomy,A. Moraphology
Choose similar word:  Gorges : Canyons : Meanders,A. Moraines,B. Tributaries,C. Deltas,D. Mountains,C. Deltas
Choose similar word:  Coal : Ebony : Soot,A. Rust,B. Ash,C. Raven,D. Blush,C. Raven
Choose similar word:  Hokaido : Honshu : Shikoku,A. Madagascar,B. Kyushu,C. Shanghai,D. Sikiang,B. Kyushu
Choose similar word:  Edge : Corner : Tip,A. Snow,B. Hill,C. Brink,D. Cap,C. Brink
Choose similar word:  Basket : Pail : Pan,A. Spoon,B. Bowl,C. Fork,D. Knife,B. Bowl
Choose similar word:  Patna : Bombay : Dispur,A. Cochin,B. Trombay,C. Udaipur,D. Madras,D. Madras
Choose similar word:  Root : Stem : Branch,A. Wood,B. Leaf,C. Tree,D. Fertiliser,B. Leaf
Choose similar word:  Sodium : Potassium : Zinc,A. Sulphur,B. Calcium,C. Water,D. Iodine,B. Calcium
Choose similar word:  Shark : Cod : Eel,A. Whale,B. Dolphin,C. Fish,D. Oyster,B. Dolphin
Choose similar word:  Liver : Heart : Kidney,A. Blood,B. Nose,C. Lung,D. Urine,C. Lung
Choose similar word:  Pituitary : Thyroid : Pancreas,A. Adrenal,B. Heart,C. Liver,D. Kidney,A. Adrenal
Choose similar word:  Hair : Grass : Fur,A. Feather,B. Cloth,C. Wood,D. Leather,A. Feather
Choose similar word:  Marble : Slate : Gneiss,A. Quartzite,B. Limestoe,C. Coal,D. Sandstone,A. Quartzite
Choose similar word:  Violet : Orange : Yellow,A. Purple,B. Blue,C. White,D. Pink,B. Blue
Choose similar word:  Canada : Chile : Germany,A. Spain,B. Paris,C. Chicago,D. Ottawa,A. Spain
Choose similar word:  Potato : Carrot : Raddish,A. Tomato,B. Spinach,C. Sesame,D. Groundnut,D. Groundnut
Choose similar word:  Clutch : Brake : Horn,A. Scooter,B. Steering,C. Car,D. Accident,B. Steering
Choose similar word:  Diamond : Sapphire : Ruby,A. Gold,B. Silver,C. Emerald,D. Bronze,C. Emerald
Choose similar word:  Jute : Cotton : Wool,A. Terylene,B. Silk,C. Rayon,D. Nylon,B. Silk
Choose similar word:  Peas : Gram : Pulses,A. Rice,B. Barley,C. Beans,D. Coconut,C. Beans
Choose similar word:  Ohm : Watt : Volt,A. Light,B. Electricity,C. Hour,D. Ampere,D. Ampere
Choose similar word:  Calf : Kid : Pup,A. Infant,B. Young,C. Larva,D. Animal,C. Larva
Choose analogous pair:  Intelligensia : Elitist,A. Commonality : Common class,B. Gentry : Public,C. Rabble : Plebeian,D. Outer shell : Sea shell,C. Rabble : Plebeian
Choose analogous pair:  Rampart : Fortress,A. River : Lake,B. Fence : House,C. Cage : Animal,D. Parapet : Roof,D. Parapet : Roof
Choose analogous pair:  Scythe : Reaping,A. Light : Shining,B. Shears : Cutting,C. Saws : Gluing,D. Screws : Turning,B. Shears : Cutting
Choose analogous pair:  Fond : Doting,A. Solicitous : Concern,B. Vebose : Wordiness,C. Flurry : Blizzard,D. Magnificent : Grandiose,C. Flurry : Blizzard
Choose analogous pair:  Relax : Work,A. Play : Cheat,B. Lunch : Dinner,C. Smile : Laugh,D. Fresh : Stale,D. Fresh : Stale
Choose analogous pair:  Incandescent : Glowing,A. Flash : Flame,B. Tedious : Bore,C. Boor : Oafish,D. Indefatigable : Untiring,D. Indefatigable : Untiring
Choose analogous pair:  Apostate : Religion,A. Potentate : Kingdom,B. Traitor : Country,C. Bureaucrat : Government,D. Jailor : Law,B. Traitor : Country
Choose analogous pair:  Spider : Web,A. Ink : Pen,B. Cock : Hen,C. Teacher : Student,D. Poet : Poetry,D. Poet : Poetry
Choose analogous pair:  Bruise : Fall,A. Walk : Run,B. Wound : Antiseptic,C. Tipsy : Drink,D. Tonic : Health,C. Tipsy : Drink
Choose analogous pair:  Dislike : Repulsion,A. Dream : Sleep,B. Steal : Crime,C. Reputation : Behaviour,D. Intelligence : Wit,D. Intelligence : Wit
Choose analogous pair:  Tree : Branches,A. River : Tributaries,B. Continent : Island,C. Stream : Delta,D. Ocean : Seas,A. River : Tributaries
Choose analogous pair:  Berries : Bush,A. Herd : Plant,B. Tea : Leaves,C. Melon : Vine,D. Coffee : Plantation,C. Melon : Vine
Choose analogous pair:  Fan : Sweat,A. Fire : Smoke,B. Rain : Drought,C. Wind : Evaporation,D. Corp : Harvest,B. Rain : Drought
Choose analogous pair:  Thrust : Spear,A. Scabberd : Sword,B. Mangle : Iron,C. Bow : Arrow,D. Fence : Epee,D. Fence : Epee
Choose analogous pair:  East : Orient,A. North : Polar,B. North : Torpic,C. South : Capricorn,D. West : Occident,D. West : Occident
Choose analogous pair:  Jews : Synagogue,A. Parsis : Temple,B. Jains : Fire Temple,C. Buddhists : Pagoda,D. Hindus : Vedas,C. Buddhists : Pagoda
Choose analogous pair:  Taj Mahal : Agra,A. Eiffel Tower : France,B. Algeria : Africa,C. Cotton : Ahmedabad,D. Turkey : Asia,A. Eiffel Tower : France
Choose analogous pair:  Steering : Car,A. Needle : Cloth,B. Paddle : Canoe,C. Knife : Whittle,D. Pallet : Painter,B. Paddle : Canoe
Choose analogous pair:  Script : Drama,A. Article : Magazine,B. Chapter : Book,C. Lyrics : Note,D. Score : Symphony,B. Chapter : Book
Choose analogous pair:  Hermit : Solitude,A. Warrior : Civility,B. Traitor : Loyalty,C. Ascetic : Self denial,D. Researcher : Finding,D. Researcher : Finding
Choose analogous pair:  Editor : Magazine,A. Director : Film,B. Novel : Writer,C. Psychiatrist : Neurotic,D. Librarian : Library,C. Psychiatrist : Neurotic
Choose analogous pair:  Commander : Commands,A. Aerates : Aviator,B. Senator : Legislates,C. Checks : Teacher,D. Surgeon : Diagnosis,A. Aerates : Aviator
Choose analogous pair:  Square : Cube,A. Triangle : Prism,B. Circle : Sphere,C. Line : Cyliner,D. Sphere : Earth,A. Triangle : Prism
Choose analogous pair:  Jute : Sack,A. Shoe : Sock,B. Wool : Sweater,C. Cotton : Fibra,D. Mill : Cloth,B. Wool : Sweater
Choose analogous pair:  Streptococci : Pneumonia,A. Quinine : Malaria,B. Boat : Sea,C. Mosquito : Malaria,D. Malnutrition : Rickets,C. Mosquito : Malaria
Choose analogous pair:  Vaseline : Petrol,A. Tea : Leaves,B. Plant : Tree,C. Butter : Ghee,D. Cream : Milk,D. Cream : Milk
Choose analogous pair:  Large : Enormous,A. Big : Small,B. Plump : Fat,C. Less : Greater,D. Regal : Royal,B. Plump : Fat
Choose analogous pair:  Threat : Insecurity,A. Challenge : Fight,B. Thunder : Lightning,C. Clouds : Rain,D. Disease : death,A. Challenge : Fight
Choose analogous pair:  Acoustic : Sound,A. Mathematics : Geometry,B. Radio : Song,C. Pathology : Disease,D. Communication : Phone,C. Pathology : Disease
Choose analogous pair:  Deplete : Enervate,A. Tighten : Loosen,B. Exhaust : Enfeeble,C. Invigorate : Tired,D. Strengthen : Weak,B. Exhaust : Enfeeble
Choose analogous pair:  Dive : Opera,A. Thespian : Play,B. Conductor : Bus,C. Director : Drama,D. Producer : Theatre,A. Thespian : Play
Choose analogous pair:  Court : Justice,A. Police : Crime,B. Teacher : Study,C. Doctor : Sickness,D. Auditor : Accuracy,D. Auditor : Accuracy
Choose analogous pair:  Calendar : Date,A. Time : Hour,B. Transport : Bus,C. Dictionary : Word,D. City : Pincode,C. Dictionary : Word
Choose analogous pair:  Equator : Latitude,A. Visitor : Guest,B. Needle : Direction,C. Fish : Water,D. Pigeon : Bird,D. Pigeon : Bird
Choose analogous pair:  Carnivore : Herbivore,A. Animal : Bird,B. Flesh : Plant,C. Camel : Giraffe,D. Horse : Lion,B. Flesh : Plant
Choose analogous pair:  Coal : Thermal,A. Power : Energy,B. Bulb : Light,C. Air : Atmosphere,D. Water : Hydel,D. Water : Hydel
Choose analogous pair:  Liquator : Intoxicates,A. Oil : Smears,B. Medicine : Soothes,C. Drug : Addicts,D. Morphine : Sedates,D. Morphine : Sedates
Choose analogous pair:  Question : Question Mark,A. Remark : Colon,B. Aside : Parentheses,C. Sentence : Period,D. Clause : Semicolon,B. Aside : Parentheses
Choose analogous pair:  Presumption : Certainty,A. Flasehood : Truth,B. Hearsay : Authenticity,C. Theorem : Proof,D. Hunch : Guess,B. Hearsay : Authenticity
Choose analogous pair:  Filter : Water,A. Expurge : Book,B. Edit : Text,C. Censor : Play,D. Curtail : Activity,C. Censor : Play
Choose analogous pair:  Intimidate : Wheedle,A. Resolute : Impetuous,B. Coordinate : Disinter,C. Defile : Rebuke,D. Extol : Disparage,D. Extol : Disparage
Choose analogous pair:  Necklace : Adornment,A. Medal : Decoration,B. Bead : Necklace,C. Scarf : Dress,D. Pearl : Diamond,A. Medal : Decoration
Choose analogous pair:  Cream : Cosmetics,A. Tiger : Forest,B. Magazine : Editor,C. Teak : Wood,D. Mountain : Valley,D. Mountain : Valley
Choose analogous pair:  Dawn : Morning,A. Morning : Evening,B. Sun : Rain,C. Lamp : Light,D. Autumn : Winter,D. Autumn : Winter
Choose analogous pair:  Accident : Mishap,A. Eminent : Notorious,B. Pacify : Provoke,C. Abrupt : Sudden,D. Dearth : Plenty,C. Abrupt : Sudden
Choose analogous pair:  Capricious : Reliability,A. Arbitrary : Whimsical,B. Unreliable : Inhuman,C. Tenacious : Practicality,D. Extemporaneous : Predictability,C. Tenacious : Practicality
Choose analogous pair:  Propensity : Tendency,A. Prologue : Epilogue,B. Master : Slave,C. Audacity : Impudence,D. Conduct : Immorality,C. Audacity : Impudence
Choose analogous pair:  War : Destruction,A. Fire : Burn,B. Court : Justice,C. Water : Drown,D. Food : Hunger,A. Fire : Burn
Choose analogous pair:  Sea : Shore,A. Train : Rails,B. Road : Footpath,C. Ocean : Bay,D. River : Delta,B. Road : Footpath
Choose analogous pair:  Hope : Aspire,A. Fake : Ordinary,B. Fib : Lie,C. Film : Flam,D. Love : Elevate,B. Fib : Lie
Choose analogous pair:  Bird : Wings,A. Whale : Water,B. Dog : Lungs,C. Car : Wheel,D. Pen : Paper,C. Car : Wheel
Choose analogous pair:  Choose : Discard,A. Draw : Push,B. Love : Adore,C. Walk : Run,D. Sit : Stand,A. Draw : Push
Choose analogous pair:  Choose : Discard,A. Draw : Push,B. Love : Adore,C. Walk : Run,D. Sit : Stand,A. Draw : Push
Choose analogous pair:  Barrel : Vial,A. Book : Readers,B. Book : Pamphlet,C. Brochure : Compiler,D. Length : Height,B. Book : Pamphlet
Choose analogous pair:  Indigent : Wealthy,A. Scholarly : Erudite,B. Gauche : Graceful,C. Native : Affluent,D. Angry : Rich,B. Gauche : Graceful
Choose analogous pair:  Baldness : Hair,A. Talk : Whisper,B. Giggle : Laugh,C. Quiet : Peace,D. Silence : Noise,D. Silence : Noise
Choose analogous pair:  Sphere : Ball,A. Circle : Disc,B. Cube : Dice,C. Line : Rope,D. Triangle : Cone,B. Cube : Dice
Choose analogous pair:  Protagonist : Character,A. Earth : Moon,B. Termite : Insect,C. Lizard : Housefly,D. Whale : Fish,B. Termite : Insect
Choose analogous pair:  Archaeologist : Antiquity,A. Ichthyologist : Marine life,B. Doctor : Medicine,C. Teacher : Education,D. Minister : Theology,A. Ichthyologist : Marine life
Choose analogous pair:  Pedant : Erudition,A. Blunt : Politician,B. Enemy : Friendly,C. Diplomat : Tactless,D. Prude : Modesty,D. Prude : Modesty
Choose analogous pair:  Liquor : Drink,A. Bread : Butter,B. Tea : Beverage,C. Snuff : Inhale,D. Water : Sip,B. Tea : Beverage
Choose analogous pair:  Optimistic : Pessimistic,A. Difficult : Impossible,B. Study : Play,C. Tolerating : Disgusting,D. Export : Import,D. Export : Import
Choose analogous pair:  Rain : Patter,A. Door : Bang,B. Birds : Flight,C. Animal : Graze,D. Men : Walk,A. Door : Bang
Choose analogous pair:  Rotate : Gyrate,A. Putrefy : Reject,B. Anachorism : Cubism,C. Accolade : Criticism,D. Absolve : Exonerate,D. Absolve : Exonerate
Choose analogous pair:  Corporeal : Spiritual,A. Pedagogue : Teacher,B. Foreigner : Immigrant,C. Moron : Savant,D. Mesa : Plateau,C. Moron : Savant
Choose analogous pair:  Evaporation : Cloud,A. Mountain : Snow,B. Pressure : Atmosphere,C. Book : Pages,D. Tension : Breakdown,D. Tension : Breakdown
Choose analogous pair:  Sailor : Pirate,A. Police : Robbers,B. Lion : Lamb,C. Plant : Fungus,D. Major : Sepoy,C. Plant : Fungus
Choose analogous pair:  Roof : Foundation,A. Plateau : Plain,B. Hay : Grass,C. Hill : Mountain,D. Peak : Valley,D. Peak : Valley
Choose analogous pair:  Land : Cape,A. House : Gate,B. Foot : Toe,C. Hand : Glove,D. Finger : Nails,B. Foot : Toe
Choose analogous pair:  Cube : Cuboid,A. Oval : Sphere,B. Square : Cube,C. Sphere : Ellipsoid,D. Triangle : Cone,C. Sphere : Ellipsoid
Choose analogous pair:  Perforate : Holes,A. Repent : Sins,B. Speckle : Spots,C. Filter : Water,D. Decorate : Rooms,B. Speckle : Spots
Choose analogous pair:  Leather : Milk,A. Cat : Mouse,B. Curd : Bacteria,C. Fruit : Rubber,D. Sun : Moon,C. Fruit : Rubber
Choose analogous pair:  Trilogy : Novel,A. Gun : Cartridge,B. Rice : Husk,C. Milk : Cream,D. Serial : Episode,D. Serial : Episode
Choose analogous pair:  Coronation : Reign,A. Vaccination : Immunity,B. Sculptor : Statue,C. Degree : Graduate,D. Summer : Rain,D. Summer : Rain
Choose analogous pair:  Rocket : Fuel,A. Man : Energy,B. Machine : Oil,C. Current : Electricity,D. River : Water,A. Man : Energy
Choose analogous pair:  Revolution : Change,A. Disease : Medicine,B. Famous : Notorious,C. Food : Energy,D. Treaty : Peace,D. Treaty : Peace
Choose analogous pair:  Utopia : English,A. Odyssey : Greek,B. Tulsidas : Sanskrit,C. Monalisa : English,D. Dante : Latin,A. Odyssey : Greek
Choose analogous pair:  Pharaohs : Egypt,A. Socrates : Greece,B. Kings : India,C. Imperator : Rome,D. Government : State,B. Kings : India
Choose analogous pair:  Grain : Salt,A. Chip : Glass,B. Blades : Grass,C. Shred : Wood,D. Shard : Pottry,A. Chip : Glass
Choose analogous pair:  Preamble : Constitution,A. Word : Dictionary,B. Contents : Magazine,C. Explanation : Poetry,D. Preface : Book,D. Preface : Book
Choose analogous pair:  Animal : Menagerie,A. Painting : Museum,B. Flowers : Pot,C. Milk : Glass,D. Grapes Bunch,A. Painting : Museum
Choose analogous pair:  Cistern : Water,A. House : Family,B. Cup : Tea,C. Vase : Water,D. Book : Knowledge,B. Cup : Tea
Choose analogous pair:  Inn : Traveller,A. Lodging : Man,B. Country : Citizen,C. Dormitory : Students,D. Ashram : Gurus,C. Dormitory : Students
Choose analogous pair:  Inherit : Acquire,A. Hierarchial : Succession,B. Instinct : Habit,C. Loss : Gain,D. Learn : Discover,A. Hierarchial : Succession
