questionText,options[0],options[1],options[2],options[3],correctAnswer
The Siwa Oasis is located in__________?,A. Iraq,B. Egypt,C. UAE,D. Iran,B. Egypt
UN Chinese Language Day is observed annually on _____________?,A. 15th April,B. 17th April,C. 20th April,D. None of these,C. 20th April
“Donbass” is a disputed region between?,A. Greece & Turkey,B. Armenia & Azerbaijan,C. Russia & Ukraine,D. None of these,C. Russia & Ukraine
HRCP stands for?,A. Human Rights Committee of Pakistan,B. Human Rights Conference of Pakistan,C. Human Rights Commission of Pakistan,D. None of these,C. Human Rights Commission of Pakistan
NCOC stands for?,A. National Coordination and Operation Centre,B. National Command and Operation Centre,C. National Control and Operation Centre,D. National Centre for Operation and Coordination,B. National Command and Operation Centre
Where is Katpana desert located ?,"A. Harbin, China","B. Skardu, Pakistan","C. Dras, India","D. Sydney, Australia","B. Skardu, Pakistan"
What is the height of Diamer Basha Dam?,A. 138m,B. 200m,C. 272m,D. 278m,C. 272m
How many Islamic Republics are there in the world?,A. 3,B. 4,C. 5,D. 2,B. 4
In which of the following year the holy month of Ramadan is expected to occur twice?,A. 2025,B. 2030,C. 2035,D. None of these,B. 2030
Leonardo da Vinci is airport of_________?,A. Japan,B. Italy,C. China,D. None of these,B. Italy
“NIKKEI” is a stock exchange index of ________?,A. Beijing,B. Wilington,C. Tokyo,D. Stockholm,C. Tokyo
Which country has maximum languages ?,A. South Africa,B. Papua New Giunea,C. United States,D. France,B. Papua New Giunea
In which country Great Buddha of Kamakura located ?,A. Russia,B. Indonesia,C. Japan,D. China,C. Japan
In which city of Russia St. Basil’s Cathedral is located ?,A. Moscow,B. Nizhny,C. St.Petersberg,D. None of these,A. Moscow
The Width of Suez Canal is_______?,A. 205 m,B. 210 m,C. 215 m,D. None of these,A. 205 m
Neom City is located on the coast of ____ Sea?,A. Persian Gulf,B. Gulf of Oman,C. Dead Sea,D. Red Sea,D. Red Sea
Meaning of Neom the name of new proposed smart city in Saudi Arabia?,A. New Era,B. New world,C. New Arabia,D. New Future,D. New Future
The Line is a proposed smart city in Saudi Arabia is located in the area of________?,A. Uhud,B. Taif,C. Badr,D. Tabuk,D. Tabuk
Kyoto City is in which Country?,A. China,B. South Korea,C. Japan,D. None of these,C. Japan
The important mountains of Europe include:,"A. Andes, Alps, Pyrenees","C. Alps, Himalayas, Rock mountains",D. None of the above,,"B Alps, Carpathians, Pyrenees, Apennines"
Florida strait is located between:___________?,A. Japan and Korea,B. Cuba and Bahamas,C. Italy and Sicily,D. None of these,B. Cuba and Bahamas
Which land of country is below the sea level?,A. Netherlands,B. Iceland,C. Belgium,D. Germany,A. Netherlands
The country also known as ” country of COPPER” is:,A. Zimbabwe,B. Zambia,C. China,D. None of these,B. Zambia
Which country has the unwritten constitution?,A. England,B. US,C. Australia,D. None of these,A. England
Who coined the name of United Nations?,A. Stalin,B. Austin Mills,C. F.D Roosevelt,D. None of these,C. F.D Roosevelt
The city which is also known as the City of Canals?,A. Paris,B. Venice,C. Florence,D. None of these,B. Venice
Afghanistan is separated from Central Asia by:_________?,A. Caspian Sea,B. Wakhan,C. Aral River,D. Oxus River,D. Oxus River
The largest populous Islamic country of the world is: __________?,A. Pakistan,B. Iran,C. Indonesia,D. Saudi Arabia,C. Indonesia
Which country contains the most volcanoes in the world?,A. Indonesia,B. South Africa,C. Mexico,D. None of these,A. Indonesia
Which country is also called “Rainbow Nation”?,A. South Africa,B. Netherlands,C. Norway,D. None of these,A. South Africa
Which country is also known as sun rise?,A. South Africa,B. Netherlands,C. Norway,D. Japan,D. Japan
The most dispersed country in the world is: __________?,A. Maldives,B. Indonesia,C. Philippines,D. None of these,A. Maldives
"Which country, on the map of world, appears as “Long Shoe”?",A. Portugal,B. Italy,C. Greece,D. Hungary,B. Italy
Egypt connects the two continents:,A. Asia and Europe,B. Asia and Africa,C. South America and North America,D. None of these,B. Asia and Africa
"Penalty cards(Yellow, Red) used in Football first introduced in which year?",A. 1970,B. 1974,C. 1996,D. None of these,A. 1970
________ is the world’s fastest-sinking city:,A. Jakarta,B. Manila,C. Shanghai,D. None of these,A. Jakarta
_______ is the tulip capital of the world?,A. USA,B. Green land,C. Netherlands,D. None of these,C. Netherlands
Turkey connects the two continents: _____________?,A. Asia and Europe,B. Asia and Africa,C. South America and North America,D. Asia and Australia,A. Asia and Europe
What is the capital of Comoros?,A. Lilongwe,B. Managua,C. Moroni,D. None of these,C. Moroni
When is the UN French Language Day is observed globally?,A. 20 March,B. 19 March,C. 18 March,D. None of these,A. 20 March
________ is the World’s Loudest Bird:,A. Macaws,B. Cockatoos,C. White Bellbird,D. None of these,C. White Bellbird
Which of the following pairs of City and River is correct?,A. Baghdad — Tigris,B. Berlin — Seine,C. Paris — Danube,D. Tuscany (Italy) — Irtysh,A. Baghdad — Tigris
Which among the following trees is considered the tallest in the world?,A. Cedar,B. Redwood,C. Date palm,D. None of these,B. Redwood
Which peninsula lies between the black sea and the sea of Azov?,A. Crimean,B. Iberian,C. Kamchatka,D. None of these,A. Crimean
Which mountain system lies between the Black sea and the Caspian sea?,A. Appalachians,B. Caucasus,C. Atlas,D. None of these,B. Caucasus
Name the country shares 16 borders with other states:__________?,A. Russia,B. India,C. China,D. None of these,C. China
CEYLON was changed to SRI LANKA in:________?,A. 1970,B. 1972,C. 1975,D. None of these,B. 1972
BURMA was changed to MYANMAR in:___________?,A. 1986,B. 1989,C. 1987,D. None of these,B. 1989
What percentage of land is cultivable in the world?,A. 12%,B. 11%,C. 10%,D. None of these,B. 11%
Only land locked country in South-East Asia ?,A. North korea,B. China,C. Vietnam,D. Loas,D. Loas
Who is writer book  ‘Cutting edge “?,A. Waqar Younus,B. Waseem Akram,C. Javed Mian Dad,D. Ahmed Ahsfaq,C. Javed Mian Dad
The first full face transplant was performed in__________?,A. 2006,B. 2008,C. 2010,D. None of these,C. 2010
Rousseau was__________?,A. Political Philosopher,B. German Revolutionary leader,C. American Explorer,D. British leader,A. Political Philosopher
Which is called flower animal in world?,A. Hydra,B. Sea anemones,C. Obella,D. None of these,B. Sea anemones
"The bridge in Istanbul, Turkey that connects Asia and Europe is called_____________?",A. Golden Gate Bridge,B. Akashi Kaikyo Bridge,C. Bosphorus Bridge,D. Royal Gorge Bridge,C. Bosphorus Bridge
"Which city is also called The City of 1,000 Minarets?",A. Istanbul,B. Cairo,C. Makkah,D. Islamabad,B. Cairo
When Bangladesh celebrates it’s Independence Day ?,A. 26 March,B. 20 April,C. 14 August,D. None of these,A. 26 March
Picture of which US President is on the 5 dollar note ?,A. George Washington,B. Thomas Jefferson,C. Abraham Lincoln,D. None of these,C. Abraham Lincoln
Name the only US president who also served as the Chief Justice of the US Supreme Court ?,A. Howard Taft,B. Lyndon Johnson,C. Abraham Lincoln,D. None of these,A. Howard Taft
The Queen who had the nick name “Bloody Mary” is ?,A. Elizabeth I,B. Victoria I,C. Mary I,D. None of these,C. Mary I
Amir Khusrow was the disciple of whom ?,A. Khuwaja Gulam Farid,B. Nizam Uddin Aulia,C. Khuwaja Moen Uddin,D. None of these,B. Nizam Uddin Aulia
Pablo Picasso the famous artist belong to which country ?,A. Brazil,B. France,C. Spain,D. None of these,C. Spain
Who is known as the father of Pentium Chip ?,A. Vinod Khanna,B. Vinod Dham,C. Sundar Pichai,D. None of these,B. Vinod Dham
Who among following is considered to be the father of “Green Revolution” ?,A. Mammohan Singh,B. Norman Borlaug,C. Abdul Salam,D. Henry Ford,B. Norman Borlaug
Who is known as the Father of video games ?,A. Karl Bens,B. Ralph H. Bear,C. Karoline Berliner,D. Andrew Smith Bernard,B. Ralph H. Bear
"All of the following are Amir Khusro,s creation except ?",A. Ahsika,B. Tutinama,C. Laila Majnu,D. Nuh Sipir,B. Tutinama
Who is called the Frontier Gandhi ?,A. Khan Abdul Ghaffar Khan,B. Zulfiqar Bhutto,C. Manmohan Singh,D. Muhammad Ali Jinnah,A. Khan Abdul Ghaffar Khan
Nepal’s first woman President was__________ ?,A. Vidya Devi Bhandari,B. Aishwarya Laxmi,C. Rita Sharma,D. Komal Bhandari,A. Vidya Devi Bhandari
Which of the following architect designed Indian Capital “New Delhi “?,A. Sir Edward Paul,B. Sir Edwin Lutyen,C. Sir Thomas Angel,D. Sir Richardson,B. Sir Edwin Lutyen
Who is credited for building the Great Wall of China ?,A. Fa Hien,B. Yubang Tou,C. Hiung Tsang,D. Qin Shi Huang,D. Qin Shi Huang
Who among the following is the author of Sri Lanka’s national anthem ?,A. Srijavo Bandarnaike,B. Matilda Pakshah,C. Ananda Samarkone,D. Gotabaya Rajapaksha,C. Ananda Samarkone
Name the first civilian president of Myanmar ?,A. Myint Sewie,B. Thein Sein,C. Huang Hye,D. Htin Kway,D. Htin Kway
Construction of the Burj Khalifa began in____________?,A. 2004,B. 2005,C. 2006,D. None of these,A. 2004
Which country is the member of NATO?,A. Austria,B. Switzerland,C. Finland,D. Hungary,D. Hungary
Which country is not the member of NATO?,A. Estonia,B. Netherlands,C. Norway,D. Finland,D. Finland
The Five Eyes (FVEY) is ______ alliance?,A. Economic,B. Political,C. Military,D. Intelligence,D. Intelligence
"Australian, UK, USA, Canada and _______ are the members of Five Eyes Group of Countries?",A. Mexico,B. Brazil,C. Japan,D. New Zealand,D. New Zealand
Which country is the member of Five Eyes group of countries?,A. Australia,B. India,C. China,D. Russia,A. Australia
The Arabian Sea is also called as__________?,A. Sindhu Sagar,B. Arab Samundra,C. Erythraean Sea,D. Akhzar Sea,E. All of them
‘Aksai Chin’ is a disputed area between _______ and _______?,A. China and India,B. China and Pakistan,C. India and Pakistan,D. India and Nepal,A. China and India
The International Narcotics Control Board (INCB) was established in which year?,A. 1950,B. 1945,C. 1968,D. 1975,C. 1968
There are __________ Sustainable development Goals of United Nations?,A. 15,B. 17,C. 12,D. 13,B. 17
Al Ghazzali was born in the year _______ ?,A. 1058,B. 1059,C. 1060,D. 1061,A. 1058
Which was the first country to legalise euthasia (physician-assisted suicide) ?,A. Netherlands,B. Germany,C. Switzerland,D. Brazil,A. Netherlands
Aegean Sea is located in between these two peninsulas?,A. Arabian Peninsula & Iberian Peninsula,B. Iberian Peninsula & Balkan Peninsula,C. Balkan Peninsula & Anatolia Peninsula,D. Anatolia Peninsula & Iberian Peninsula,C. Balkan Peninsula & Anatolia Peninsula
“shock and awe” was the name of USA’s war against _____ in 2003,A. Iraq,B. Afghanistan,C. Vietnam,D. None of these,A. Iraq
Strait connecting the Black Sea and the Sea of Azov is___________?,A. Palk Strait,B. Cook strait,C. Bosphorous strait,D. Kerch strait,D. Kerch strait
During which battle were tanks first employed?,A. Battle of Trafalgar,B. Battle of the Somme,C. Battle of Waterloo,D. None of these,B. Battle of the Somme
Which country built a stadium called ” Birds Nest Stadium ” for Olympics 2008 ?,A. China,B. UK,C. India,D. USA,A. China
"Mount Semeru, an active volcano, located in__________ ?",A. Australia,B. Indonesia,C. Philippines,D. Denmark,B. Indonesia
Which European city is called as the European Jerusalem ?,A. Madrid,B. Rome,C. Sarajevo,D. Granada,C. Sarajevo
The world heritage site Pashupatinath temple is located at__________ ?,A. Multan,B. Delhi,C. Khatmandu,D. Kabul,C. Khatmandu
What was the old name of Singapore?,A. Ceylon,B. Temasek,C. Nippon,D. Bohemia,B. Temasek
"‘QUAD’ is a group of four countries: India, United States, Japan and ?",A. Russia,B. Australia,C. China,D. New-Zealand,B. Australia
Who is the first democratically elected female President of Africa ?,A. Kristine Chapel,B. Opera Winfrey,C. Ellen Johnson Sirleaf,D. Katie Kristie Sirleaf,C. Ellen Johnson Sirleaf
The first democratically elected female President of Africa is from which country ?,A. Tanzania,B. Uganda,C. Liberia,D. Djoboty,C. Liberia
‘World Sustainable Development Summit’ is organized by which institution ?,A. Green Peace,B. World Economic Forum,C. The Energy & Resource Centre,D. United Nation Development Programme,C. The Energy & Resource Centre
Which country allowed women into three sports stadium for the first time from 2018?,A. Iran,B. Egypt,C. Bolivia,D. Saudi Arabia,D. Saudi Arabia
Where is the headquarters of Caribbean Community (CARICOM) ?,A. West-Indies,B. Guyana,C. Namibia,D. Ethopia,B. Guyana
Which country is not the member of QUAD Countries Group?,A. India,B. USA,C. JAPAN,D. UK,D. UK
Which city is believed to be the oldest inhabited city of Europe?,"A. Athens, Greece","B. Saint Petersburg, Russia","C. Plovdiv, Bulgaria","D. Sibiu, Romania","C. Plovdiv, Bulgaria"
"Vlad the Impaler popularly known as Dracula, was the ruler of which country?",A. Serbia,B. Romania,C. Argentina,D. Austria,B. Romania
Which country was the first to be declared an atheist state?,A. Greece,B. Albania,C. Croatia,D. Portugal,B. Albania
Which Country has built the world’s Longest Cantilever?,A. Singapore,B. United Kingdom,C. Dubai,D. Canada,C. Dubai
Teotihuacan Pyramids is located in which country ?,A. Egypt,B. Argentina,C. Mexico,D. Peru,C. Mexico
The State Hermitage Museum is located in which country ?,A. Spain,B. France,C. China,D. Russia,D. Russia
Borobudur Temple is located in which country ?,A. Egypt,B. Indonesia,C. Afghanistan,D. United Arab Emirate,B. Indonesia
In which country the world’s tallest sandcastle has been built  ?,A. Germany,B. Saudi Arabia,C. Afghanistan,D. United Arab Emirate,A. Germany
Who was the architect of “Taj Mahal” ?,A. Ustad Allah Baksh,B. Ustad Ahmad Lahouri,C. Norman Volvak,D. Henry Irwin,B. Ustad Ahmad Lahouri
The World’s largest and deepest rail tunnel Gotthard Base Tunnel is located in which country?,A. Denmark,B. Sweden,C. Switzerland,D. United States,C. Switzerland
Which of the following Sikh Guru laid the foundation of Amritsar ?,A. Guru Gobind Singh,B. Guru Hari Singh,C. Guru Amar Das,D. Guru Ram Das,D. Guru Ram Das
Who was the first female Prime Minister of Canada ?,A. Srimavo Bandernaike,B. Kim Campbell,C. Margaret Thatcher,D. Golda Meir,B. Kim Campbell
Who is known as ‘ Little Corporal ‘ ?,A. Mahtma Gandhi,B. Francis Moody,C. Napoleon Bonaparte,D. Adolf Hitler,C. Napoleon Bonaparte
Who among the following persons is called ‘ Desert Fox ‘ ?,A. Eisenhower,B. Walter Scott,C. Erwin Rommel,D. Price Bismark,C. Erwin Rommel
Who is the author of the book “My experiments with truth”?,A. M. K. Gandhi,B. Shakespeare,C. K. M. Munshi,D. None of these,A. M. K. Gandhi
World no Tobacco Day is observed on ________ every  year.,A. 12May,B. 22 May,C. 31 May,D. None of these,C. 31 May
Arab spring is a series of political revolutions started in________?,A. 2010,B. 2011,C. 2012,D. None of these,A. 2010
Who attacked Afghanistan in 1979?,A. US,B. Taliban,C. Iran,D. Soviet Union,D. Soviet Union
Which one is the world coldest desert ?,A. Sahara Desert,B. Gobi Desert,C. Antarctic Desert,D. Thar Desert,C. Antarctic Desert
The famous poem ‘Twinkle Twinkle Little Star’ is written by________ ?,A. William Shakespeare,B. Jane Taylor,C. Charles Dickens,D. Jane Austin,B. Jane Taylor
The first letter of the Greek alphabet is_________?,A. Alpha,B. Beta,C. Gamma,D. Delta,A. Alpha
The last letter of the Greek alphabet is_________?,A. Apha,B. Beta,C. Gamma,D. Omega,D. Omega
The biggest market of Pakistan export and import is__________?,A. UK,B. USA,C. China,D. Saudi Arabia,B. USA
Mauritius is island state in the ________ ?,A. Indian Ocean,B. Pacific Ocean,C. Atlantic Ocean,D. None of them,A. Indian Ocean
ZIANA’ is the news agency of_______ ?,A. Sri Lanka,B. West Indies,C. Zimbabwe,D. Norway,C. Zimbabwe
Mother name of Babar was__________?,A. Qutlugh Nigar Khanum,B. Ansha Nigar,C. Noor Nisa Nigar,D. None of these,A. Qutlugh Nigar Khanum
Total countries in Middle East are_________?,A. 14,B. 16,C. 17,D. None of these,C. 17
The height of Gorakh hill station is__________?,"A. 5,688 ft","B. 5,687 ft","C. 5,689 ft","D. 5,686 ft","C. 5,689 ft"
First police force was established in __________ ?,A. London,B. Paris,C. Brussels,D. None of these,B. Paris
Most widely Spreaded computer virus was ________ ?,A. I love you,B. I hate you,C. Oracle,D. None of these,A. I love you
In which country the world’s oldest Democracy is in effect.,A. United Kingdom,B. France,C. Greece,D. Spain,C. Greece
Maximum hockey world Cups won by which country?,A. India,B. Pakistan,C. United Statesd,D. Spain,B. Pakistan
__________ is the first black woman elected in the U.S Congress.,A. Kamala Harris,B. Shirley Chisholm,C. Louis Bleriot,D. None of these,B. Shirley Chisholm
Which is the capital of Peru?,A. Yerevan,B. Kingston,C. Lima,D. Tirana,C. Lima
Bridge Chenab is being constructed in ______ country?,A. China,B. Pakistan,C. India,D. None of these,C. India
The world’s highest railway bridge is being constructed on _________ river?,A. Indus,B. Jehlum,C. Ravi,D. Chenab,D. Chenab
Second Ozone hole in 2006 was discovered at___________ ?,A. Antarctica,B. Brazil,C. China,D. Tibet,D. Tibet
La Tomatina ” Tomato fight ” is a festival celebrated in which country ?,A. Spain,B. USA,C. Brazil,D. Denmark,A. Spain
Onion Eating Festival is celebrated in which country ?,A. Brazil,B. Argentina,C. Spain,D. Peru,C. Spain
Which ocean surrounds Antarctica ?,A. Pacific Ocean,B. Indian Ocean,C. Atlantic Ocean,D. All of these,D. All of these
Greece and Italy are seperated by which sea ?,A. Red Sea,B. Middeteranian Sea,C. Marmara Sea,D. None of these,B. Middeteranian Sea
“Christmas Island” is located in which ocean ?,A. Pacific Ocean,B. Arctic Ocean,C. Atlantic Ocean,D. Indian Ocean,D. Indian Ocean
The “Jigme Dorji National Park” is located in which country ?,A. Myanmar,B. Bhutan,C. China,D. Japan,B. Bhutan
UNESCO’S included which Japanese Island in World Heritage Site list in July 2017?,A. Honshu Island,B. Okinoshima Island,C. Kyushu Island,D. Kamome Island,B. Okinoshima Island
Where is the “Chain of Rocks canal” located ?,A. Virginia,B. New York,C. California,D. Illinois,D. Illinois
"Tokyo, the capital of japan is situated in the island of__________?",A. Honshu,B. Kyushu,C. Kyodo,D. Hokkaidu,A. Honshu
Famous city of Limerick is found in which country ?,A. USA,B. Italy,C. Ireland,D. England,C. Ireland
France and Spain are separated by which mountain ?,A. Andes,B. Jura,C. Pyrenees,D. Vosgos,C. Pyrenees
Where is the secretariat office of Birdlife International?,A. Afghanistan,B. Brazil,C. UK,D. Peru,C. UK
"Thailand,s capital “Bangkok” lies on which river ?",A. Spree,B. Yangtze,C. Chao Phraya,D. None of these,C. Chao Phraya
A village called ” Abu Simbel” is located in which country ?,A. Saudi Arabia,B. Turkey,C. Egypt,D. None of these,C. Egypt
"The dwarf camels, known as Alpacas , Vicunas and llamas are found in_________ ?",A. Afghanistan,B. Brazil,C. Tibet,D. Japan,C. Tibet
“Amur River” one of the tenth longest rivers in the world is in which continent ?,A. Asia,B. Africa,C. Europe,D. Arctic,A. Asia
Northern and southern US states are divided by which line ?,A. Mannerheim line,B. Radclif line,C. Mason Dixon line,D. 49th parallel line,C. Mason Dixon line
50% of global coal reserves are owned by which two countries ?,A. USA & Russia,B. Russia & China,C. UK & Russia,D. USA & China,A. USA & Russia
Book “Dear Mr. Jinnah” is authored by____________?,A. Fatima jinah,B. Liaqat Ali khan,C. Allama Iqbal,D. None of these,B. Liaqat Ali khan
"“Promise Me, Dad: A Year of Hope, Hardship, and Purpose” is book written by____________?",A. Donalid Trump,B. Imran Khan,C. Joe Biden,D. Obama,C. Joe Biden
Gland is city of __________?,A. New Zealand,B. Switzerland,C. Thailand,D. France,B. Switzerland
A ‘Guinness World record’ holder for the 7th speediest poetry writing in the world in 1997:,A. Ahmed Faraz,B. Dr. Rehan Azmi,C. Faiz Ahmed Faiz,D. None of these,B. Dr. Rehan Azmi
“Medieval India under Mohammedan Rule (712-1764)” written by____________?,A. Stanley Lane Poole,B. Stanley Lockheart,C. Stanley Wolpert,D. None of these,A. Stanley Lane Poole
Napa valley in California is famous for__________?,A. Wine,B. Leather,C. Textile,D. Mangoes,A. Wine
The Headquarters of the International Tropical Timber Organization is located at_________?,A. Yokohama,B. Delhi,C. Algeirs,D. Jakarta,A. Yokohama
Name the highest peak of Antarctica?,A. Mount Logan,B. Mount Ninja,C. Mount Vinson,D. Mount McKinly,C. Mount Vinson
Where is Hambantota Port located ?,A. India,B. Sri-Lanka,C. Bangladesh,D. None of these,B. Sri-Lanka
Mount Damavand is the highest peak of which country ?,A. Azerbaijan,B. Belarus,C. Iran,D. Iraq,C. Iran
What was the former name of Ho Chi Minh city ?,A. Senegal,B. Saigon,C. Cylon,D. Yuba,B. Saigon
On which river is Washington DC situated ?,A. Missisippi River,B. Lena River,C. Potomac River,D. Roe River,C. Potomac River
Which ocean is having the widest continental shelf ?,A. Atlantic Ocean,B. Arctic Ocean,C. Pacific Ocean,D. Indian Ocean,B. Arctic Ocean
The Westminster parliamentary system was developed by which country ?,A. USA,B. UK,C. USSR,D. None of these,B. UK
Mount ST. Helens is an ‘active stratovolcano’ located in which country ?,A. America,B. Brazil,C. Canada,D. None of these,A. America
World famous Kaieteur Falls is situated on which river ?,A. Missisippi River,B. Roe River,C. Indus River,D. Potaro River,D. Potaro River
Potaro River is located in which country ?,A. Kenya,B. Ghana,C. Guyana,D. Zambia,C. Guyana
Which of the following lake lies on Equator ?,A. Lake Erie,B. Lake Victoria,C. Lake Titica,D. Lake Manchar,B. Lake Victoria
Loess Plateau is situated in which country ?,A. Albania,B. Brazil,C. China,D. Denmark,C. China
Which of the following regions receives rainfall throughout the year ?,A. Equatorial,B. Midditeranian,C. Arctic,D. Tundra,A. Equatorial
The popular “Yankee Stadium” in USA is located in which city ?,A. Virginia,B. California,C. Washington,D. New-York,D. New-York
“Kilauea volcano” is located in which country ?,A. Japan,B. China,C. Indonesia,D. Hawaii,D. Hawaii
Nobel museum is found in which city ?,A. Oslo,B. Stockholm,C. Bern,D. Geneva,B. Stockholm
What is the longest canal in the world ?,A. Grand Canal of China,B. Gota Canal of Sweden,C. Erie Canal USA,D. Suez Canal,A. Grand Canal of China
World’s longest 3D printed concrete bridge is located in_________?,A. Russia,B. Japan,C. China,D. India,C. China
Which is the longest railway platform in the world?,"A. Hyderabad, India","B. Hill Station, USA","C. Landi Kotal,Pakistan","D. Gorakhpur, India","D. Gorakhpur, India"
The country with longest coastline in the world is____________?,A. USA,B. Canada,C. Russia,D. China,B. Canada
What is the theme of 2021 International Women’s Day?,A. Women in the Changing World of Work: Planet 50-50 by 2030,B. I am Generation Equality: Realizing Women’s Rights,C. Choose to Challenge,"D. Empowering Women, Empowering Humanity: Picture it",C. Choose to Challenge
International Women Year Observed by UNO in _________?,A. 1974,B. 1975,C. 1976,D. 1977,B. 1975
Scientific study of the Algae is known as ___________?,A. Phycology,B. Pomology,C. Oneriology,D. Trichology,A. Phycology
The Scientific Study of Caves are know as _________ ?,A. Haematology,B. Speleology,C. Oology,D. Oneriology,B. Speleology
Disappointment island is in which Ocean?,A. Pacific Ocean,B. Arctic Ocean,C. Indian Ocean,D. Atlantic Icean,A. Pacific Ocean
where is disappointment island located?,A. Switzerland,B. Indonesia,C. New Zealand,D. None of Above,C. New Zealand
The scientific study of spiders is called __________ ?,A. Arachnology,B. Osteology,C. Pomology,D. None of these,A. Arachnology
Scientific study of brain is know as ___________ ?,A. Encephalology,B. Geology,C. Philosophy,D. None of these,A. Encephalology
Scientific study of Eyes is known as ____________ ?,A. Encephology,B. Trichology,C. Opthalmology,D. None of these,C. Opthalmology
Planned Completion year of One Belt One Road ( OBOR ) is ____________?,A. 2025,B. 2030,C. 2040,D. 2049,D. 2049
which is the capital of Chechnya?,A. Yerevan,B. Kingston,C. Grozny,,C. Grozny
FATF was established by G-7 summit held in ________ on 1989?,A. London,B. Brussels,C. Paris,D. Washington,C. Paris
When is the commonwealth day observed by its member countries ?,"A. March, 24","B. April, 26","C. May, 24",D. None of these,"C. May, 24"
Which organs of the United Nations elects judges of the International court of Justice ?,A. General Assembly alone,B. Economic & Social council,C. Security Council & General Assembly,D. Trusteship Council & General Assembly,C. Security Council & General Assembly
How many member countries did the UNO had on its formation in 1945 ?,A. 45,B. 47,C. 49,D. 51,D. 51
"Bread for the poverty and hunger in the world, is based in ?",A. Geneva,B. Moscow,C. Beijing,D. Washington,D. Washington
The headquarter of World Anti-Doping Agency formed in 1999 is located at ?,A. Geneva,B. Washington,C. Montreal,D. Brussels,C. Montreal
P-5 is a group of which organization ?,A. Permanent members of WTO,B. Permanent member of UN security council,C. Pemnanent members of UNESCO,D. None of the above,B. Permanent member of UN security council
When was Bank of Central African State headquartered in Cameron was formed ?,A. 1971,B. 1972,C. 1973,D. 1974,B. 1972
Headquarters of the UN industrial Development Organization is based in__________?,A. Vienna,B. Geneva,C. Paris,D. Bern,A. Vienna
Where is the headquaters of African Development Bank located ?,"A. Addis Abada, Ethopia","B. Winhoek, Namibia","C. Abidjan, Ivory Coast","D. Nairobai, Kenya","C. Abidjan, Ivory Coast"
Charter of Economic rights was adopted by United Nations in the year ?,A. 1974,B. 1969,C. 1973,D. 1968,A. 1974
Which European Country provide its currency for Bank of Central African states ?,A. USA,B. UK,C. Germany,D. France,D. France
The International criminal Police Organisation has its headquaters at ?,A. Rome,B. Paris,C. Lyon,D. Geneva,C. Lyon
International Bureau of Education is a part of which organization ?,A. UNESCO,B. UNCTAD,C. UNDP,D. World Bank,A. UNESCO
The headquarter of World Meterological Organisation is based in which country?,"A. Washington, USA","B. Geneva, Switwerland","C. Berlin, Germany","D. Delhi, India","B. Geneva, Switwerland"
When was World Meterological Organisation estabilished?,A. 1945,B. 1918,C. 1950,D. 1991,C. 1950
Which of the following country is NOT a member of the ‘Indian Ocean Rim Association (IORA)?,A. India,B. Pakistan,C. Sri-Lanka,D. Mozambique,B. Pakistan
World Investment Report is published by which organizations?,A. UNDP,B. UNESCO,C. UNCTAD,D. WIPO,C. UNCTAD
The United Nations Green Climate Fund is Headquartered in which country?,A. USA,B. Canada,C. Republic of Korea,D. None of these,C. Republic of Korea
“Global Competitiveness Report” is released by which of the following organization?,A. World Economic Forum (WEF),B. World Trade Organization (WTO),C. SAARC,D. None of these,A. World Economic Forum (WEF)
International Organization for Migration Headquarters is located in which city?,A. Paris,B. Rome,C. Geneva,D. Jakarta,C. Geneva
Where is the headquarters of the World Customs Organization (WCO) located?,A. Paris,B. Lyon,C. Brussels,D. Geneva,C. Brussels
which bird does not make its nest?,A. Crow,B. Eagle,C. Sparrow,D. Cuckoo,D. Cuckoo
"South Pacific Nuclear Free Zone Treaty was signed by the United States of America,  United Kingdom and_________ ?",A. Soviet Union,B. China,C. France,D. Germany,C. France
"which country Set world record by planting 541,176 saplings in a single day which has been duly recorded in the Guinness Book of world record in 2009?",A. China,B. Canada,C. Pakistan,D. United States of America,C. Pakistan
Who was the first Chairman of the SAARC ?,A. Indira Gandhi,B. Zia ur Rehman,C. Hussain Muhammad Ershad,D. Zulfiqar Ali Bhutto,C. Hussain Muhammad Ershad
Which River is called ‘The Sorrow of the Bengal’ ?,A. Ratna river,B. Soan River,C. Damodar River,D. Huran River,C. Damodar River
Name the first Mughal building with complete marble facing ?,"A. Humayun,s Tomb",B. Taj Mahal,C. Moti Masjid,D. Lal Qila,"A. Humayun,s Tomb"
‘Global 500’ awards are given for the outstanding achievement in which of the following field ?,A. Population control,B. Protection of environment,C. Elimination of corruption,D. Drug free society,B. Protection of environment
Wellington Trophy is related to which game ?,A. Hockey,B. Tennis,C. Rowing,D. Swimming,C. Rowing
Which Mughal King ordered to translate famous Hindu books “Ramyana and Mahabharta” in Persian language ?,A. Jalal uddin Akbar,B. Zahiruddin Babar,C. Aurangzeb Alamgir,D. Shah-jahan,A. Jalal uddin Akbar
The bird which lays more than 100 eggs in one nest is___________ ?,A. Kiwi,B. Ostrich,C. Owl,D. Parrot,B. Ostrich
Term Chinaman is related to which sports ?,A. Football,B. Cricket,C. Hockey,D. Volleyball,B. Cricket
Duncan Strait is situated in which Ocean ?,A. Pacific Ocean,B. Indian Ocean,C. Arctic Ocean,D. Atlantic Ocean,B. Indian Ocean
